DocumentId;Ordinal;Product;Quantity;Price;TaxRate
1;1;Printer;5;212,17;23
2;1;Printer;8;149,05;8
2;2;Keyboard;10;106,38;8
2;3;Headphones;11;447,85;8
2;4;Mouse;6;364,03;8
3;1;Printer;4;77,45;23
3;2;Keyboard;12;102,88;8
3;3;Headphones;19;374,35;23
3;4;Mouse;2;78,93;8
3;5;Hard drive;8;97,99;23
3;6;RAM;9;42,40;8
3;7;Graphics Card;10;364,20;23
4;1;Printer;16;103,70;8
4;2;Keyboard;16;98,14;8
4;3;Headphones;8;442,08;8
4;4;Mouse;16;84,70;8
4;5;Hard drive;7;498,51;8
4;6;RAM;10;204,80;8
4;7;Graphics Card;11;209,07;8
4;8;Processor;12;424,57;8
4;9;Monitor;4;264,56;8
5;1;Printer;18;310,94;23
5;2;Keyboard;8;137,68;8
5;3;Headphones;15;364,57;23
5;4;Mouse;19;279,78;8
5;5;Hard drive;18;289,04;23
6;1;Printer;17;435,46;8
6;2;Keyboard;16;480,59;8
6;3;Headphones;14;321,16;8
6;4;Mouse;4;174,13;8
6;5;Hard drive;8;138,99;8
6;6;RAM;10;377,40;8
6;7;Graphics Card;13;166,27;8
6;8;Processor;19;305,21;8
6;9;Monitor;9;223,51;8
7;1;Printer;9;193,15;23
7;2;Keyboard;1;306,98;8
7;3;Headphones;16;305,43;23
7;4;Mouse;2;120,46;8
7;5;Hard drive;4;143,79;23
7;6;RAM;9;55,97;8
7;7;Graphics Card;17;329,99;23
7;8;Processor;14;171,47;8
8;1;Printer;12;487,59;8
8;2;Keyboard;7;234,88;8
8;3;Headphones;8;355,77;8
8;4;Mouse;18;333,84;8
8;5;Hard drive;14;213,96;8
8;6;RAM;18;396,28;8
9;1;Printer;5;493,96;23
9;2;Keyboard;16;68,03;8
9;3;Headphones;4;376,95;23
9;4;Mouse;12;271,12;8
9;5;Hard drive;10;165,81;23
9;6;RAM;15;394,13;8
9;7;Graphics Card;12;353,55;23
9;8;Processor;17;123,99;8
9;9;Monitor;10;124,73;23
10;1;Printer;12;57,31;8
10;2;Keyboard;11;151,15;8
10;3;Headphones;17;313,51;8
11;1;Printer;14;116,31;23
11;2;Keyboard;8;353,99;8
11;3;Headphones;16;417,49;23
11;4;Mouse;9;27,96;8
12;1;Printer;16;204,68;8
12;2;Keyboard;16;140,21;8
12;3;Headphones;11;194,51;8
